monument_id,monument_name,parkprop,parkname,Location,geometry
1,Cigarette,N,unknown,"The Museum of Modern Art, 11 West 53rd Street",POINT (-73.97762159999999 40.7614327)
2,Philosophy,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue,POINT (-73.9822534 40.75318230000001)
3,Giuseppe Garibaldi,Y,Washington Square Park,unknown,POINT (-73.997332 40.7308838)
4,Alexander Hamilton,N,unknown,"COUNTY COURT HOUSE, ROOM 315; chambers and centre sts",POINT EMPTY
5,Commerce,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Elk Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
6,One Hundred Fifty Seventh St. Subway,N,unknown,157TH ST. SUBWAY; uptown side,POINT EMPTY
7,"shepard, edward morse",N,unknown,CCNY; convent ave at 137th st,POINT EMPTY
8,Confucius,N,unknown,APPELLATE COURT; Madison Avenue and 25th Street,POINT (-90.13664159999999 38.7074271)
9,Æsculapius,N,unknown,"City College Library, Convent Avenue at 139th Street",POINT (-73.9492724 40.8200471)
10,Admiral George Dewey Memorial,Y,Battery Park,"Upper Promenade, southwest of Castle Clinton",POINT (-74.0158441 40.7115786)
11,Drama,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue; East façade,POINT (-73.9822534 40.75318230000001)
12,triumph of law,N,unknown,APPELLATE COURT -25TH ST. FAC; madison ave at 25th st.,POINT (-90.13664159999999 38.7074271)
13,Washington Heights Evening High School,N,unknown,P.S. 186; Amsterdam Avenue btwn 145-146th St.,POINT (-73.9486668 40.8262349)
14,"poe, edgar allan",N,unknown,84TH ST. W. OF BROADWAY; nw corner of building,POINT EMPTY
15,wisdom,N,unknown,APPELLATE COURT BLDG ENTRANCE; madison avenue at 25th st,POINT (-90.13664159999999 38.7074271)
16,"washington, george bust",N,unknown,CITY HALL; governors room,POINT EMPTY
17,"Foster, Rebecca Salome",N,unknown,CRIMINAL COURTS BUILDING; 100 Centre Street,POINT EMPTY
18,Boy and Girl,N,unknown,unknown,POINT EMPTY
19,Harlem Heights Middle Redoubt Marker,N,unknown,"east section of Trinity Cemetery, Broadway and 153rd Street",POINT (-73.946876 40.8315245)
20,Giovanni da Verrazzano,Y,Battery Park,North entrance pathway,POINT (-74.0158441 40.7115786)
21,Cadwallader David Colden,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, seventh from lef",POINT (-74.00436549999999 40.7134361)
22,3000 A.D. Diffusion Piece,Y,unknown,Haven Avenue between West 173rd Street and West 176th Street,POINT (-73.9387209 40.8446445)
23,James Duane,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, eighth from left",POINT (-74.00436549999999 40.7134361)
24,Poetry,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
25,public school #3,N,unknown,HUDSON AND GROVE STS.,POINT EMPTY
26,Delury Plaza,N,unknown,LOWER MANHATTAN; Intersection of Fulton and Gold Streets,POINT (-74.0055004 40.7090918)
27,John Ericsson,Y,Battery Park,Perimeter of park on State Street across from Bridge Street,POINT (-74.0158441 40.7115786)
28,Robert F. Wagner Tree Marker,N,unknown,Madison Avenue between East 60th and East 61st Streets,POINT (-94.43862659999999 39.0107864)
29,The Immigrants,Y,Battery Park,South of Castle Clinton,POINT (-74.0168023 40.7034401)
30,Arsenal Landmark Plaque,Y,Central Park,"The Arsenal, east façade, left of basement entrance",POINT (-73.9655834 40.7825547)
31,Civic Pride,N,unknown,"MUNICIPAL BUILDING; Chambers and Center Streets, arch south side",POINT (-74.0036107 40.7131386)
32,Theodore Roosevelt,Y,Theodore Roosevelt Park,"American Museum of Natural History, CPW and 79th St",POINT (-73.9739882 40.7813241)
33,Poetry,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue,POINT (-73.9822534 40.75318230000001)
34,Electricity,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, second from left",POINT (-74.00436549999999 40.7134361)
